title,release_date,mpaa,runtime,rating,genres,number_reviews,production_budget,opening_weekend,gross,fb_likes
Seven Pounds,19-Dec-08,PG-13,123,7.7,"Drama,Romance",246752,55000000,14851136,69951824,28000
Fool's Gold,8-Feb-08,PG-13,112,5.7,"Action,Adventure,Comedy,Romance,Thriller",63219,70000000,21589295,70224196,13000
The Spiderwick Chronicles,14-Feb-08,PG,96,6.6,"Adventure,Family,Fantasy",73403,90000000,24740537,71148699,25000
Vantage Point,22-Feb-08,PG-13,90,6.6,"Crime,Drama,Mystery,Thriller",131776,40000000,22874936,72266306,35000
Hellboy II: The Golden Army,11-Jul-08,PG-13,120,7,"Action,Adventure,Fantasy,Horror,Sci-Fi",218446,85000000,34539115,75754670,32000
27 Dresses,18-Jan-08,PG-13,111,6.1,"Comedy,Romance",131688,30000000,27442040,76806312,34000
The Day the Earth Stood Still,12-Dec-08,PG-13,104,5.5,"Drama,Sci-Fi,Thriller",145430,80000000,3990591.4,79363785,44000
Cloverfield,18-Jan-08,PG-13,85,7,"Action,Horror,Sci-Fi,Thriller",315912,25000000,46146546,80034302,88000
What Happens in Vegas,9-May-08,PG-13,99,6.1,"Comedy,Romance",147440,35000000,2450400.42,80276912,37000
21,28-Mar-08,PG-13,123,6.8,"Crime,Drama,Thriller",199424,35000000,24105943,81159365,74000
Valkyrie,25-Dec-08,PG-13,121,7.1,"Drama,History,Thriller,War",194954,75000000,21027007,83077470,69000
Pineapple Express,6-Aug-08,R,111,7,"Action,Comedy,Crime",269532,27000000,23245025,87341380,81000
The Women,12-Sep-08,PG-13,114,4.9,"Comedy,Drama",17489,16500000,1557558,26896744,17000
Defiance,16-Jan-09,R,137,7.2,"Action,Drama,History,Thriller,War",122332,32000000,123513,28622873,10000
Untraceable,25-Jan-08,R,101,6.2,"Crime,Mystery,Thriller",42530,35000000,11354069,28687835,2000
The Bank Job,7-Mar-08,R,111,7.3,"Crime,Drama,Romance,Thriller",157636,20000000,1863985.48,30028592,47000
Mirrors,15-Aug-08,R,110,6.2,"Horror,Mystery",90610,35000000,11161074,30691439,52000
Leatherheads,4-Apr-08,PG-13,114,6,"Comedy,Drama,Romance,Sport",28469,58000000,12682595,31199215,500
Transporter 3,26-Nov-08,PG-13,104,6.1,"Action,Adventure,Crime,Mystery,Thriller",134416,30000000,12063452,31316973,29000
The Eye,1-Feb-08,PG-13,98,5.4,"Horror,Mystery",45965,12000000,12425776,31397498,19000
Zack and Miri Make a Porno,31-Oct-08,R,101,6.6,"Comedy,Romance",155607,24000000,10065630,31452765,5000
Nick and Norah's Infinite Playlist,3-Oct-08,PG-13,90,6.7,"Comedy,Drama,Music,Romance",78323,9000000,11311751,31487293,44000
Milk,30-Jan-09,R,128,7.6,"Biography,Drama,History,Romance",143825,20000000,1453844,31838002,10000
The Love Guru,20-Jun-08,PG-13,87,3.8,"Comedy,Romance,Sport",44710,62000000,13907130,32178777,16000
Drillbit Taylor,21-Mar-08,PG-13,110,5.7,"Comedy,Drama",52145,40000000,10309986,32853640,726
Punisher: War Zone,5-Dec-08,R,103,6,"Action,Crime,Drama,Thriller",51687,35000000,4271451,7948159,27000
Cadillac Records,5-Dec-08,R,109,7,"Biography,Drama,Music",16452,12000000,3445559,8134217,57000
Sex Drive,17-Oct-08,R,109,6.5,"Adventure,Comedy,Romance",75371,19000000,3607164,8396942,28000
The Boy in the Striped Pajamas,26-Nov-08,PG-13,94,7.8,"Drama,War",146279,12500000,780752.56,9030581,41000
The Express,10-Oct-08,PG,130,7.3,"Biography,Drama,Sport",17350,40000000,4562675,9589875,19000
Stop-Loss,28-Mar-08,R,112,6.5,"Drama,War",18285,25000000,4555117,10911750,1000
Doomsday,14-Mar-08,R,113,6,"Action,Sci-Fi,Thriller",64899,30000000,4926565,10955425,38000
Meet Dave,11-Jul-08,PG,90,4.9,"Adventure,Comedy,Family,Romance,Sci-Fi",33215,60000000,5251918,11802056,815
Sunshine Cleaning,17-Apr-09,R,91,6.9,"Comedy,Drama",63214,8000000,219190,12055108,35000
What Just Happened,31-Oct-08,R,104,5.7,"Comedy,Drama",24365,25000000,192508,1089365,844
Me and Orson Welles,18-Dec-09,PG-13,114,6.8,Drama,9647,25000000,63638,1186957,11000
Dostana,14-Nov-08,Unrated,145,6.5,"Comedy,Drama,Romance",11557,5000000,522747.45,1235028,536
Summer Hours,5-Jun-09,Not Rated,103,7.3,"Drama,Family",5670,6820000,112964.26,1641025,668
Che: Part One,24-Jan-09,Not Rated,134,7.2,"Biography,Drama,History,War",39746,35000000,61070,1731665,64000
Passengers,24-Oct-08,PG-13,93,5.9,"Drama,Mystery,Romance,Thriller",29389,25000000,172544,270659,22000
Mesrine Part 2: Public Enemy #1,19-Nov-08,R,133,7.5,"Action,Biography,Crime,Drama,Thriller",24818,26669160,100242,275125,24000
The Merry Gentleman,4-Dec-09,R,110,6.6,Drama,2309,5000000,74981,346286,191
The Promotion,13-Jun-08,R,86,5.7,Comedy,16911,8000000,30493,406252,334
JCVD,4-Jun-08,R,97,7.2,"Comedy,Crime,Drama",34327,15500000,20119,470691,39000
The Baader Meinhof Complex,25-Sep-08,R,150,7.4,"Action,Biography,Crime,Drama",31168,28600000,195823.8,476270,68000
The Midnight Meat Train,7-Aug-08,R,98,6.1,"Horror,Mystery",50782,15000000,34394,73548,72000
Sleep Dealer,10-Dec-08,PG-13,90,5.9,"Drama,Romance,Sci-Fi,Thriller",5888,2500000,35050,75727,13000
Ballast,19-Jan-08,Not Rated,96,7,Drama,2031,700000,8572,76211,169
Mia and the Migoo,10-Dec-08,PG,91,6.7,"Animation,Family",271,11256000,16975,16975,25
Adventures of Power,20-Jan-08,PG-13,89,6.4,"Comedy,Music",1746,2500000,4254,17196,763
Donkey Punch,18-Jul-08,R,99,5.2,"Crime,Drama,Horror,Thriller",9675,1746000,281208.82,18378,18000
Wild Child,15-Aug-08,PG-13,98,6.1,"Comedy,Drama,Romance",39804,20000000,2237196.8,19780,19000
Downloading Nancy,1-May-09,Not Rated,102,5.8,"Drama,Thriller",2396,3000000,10324,22153,340
Good,17-Apr-09,R,92,6.2,"Drama,Romance,War",5952,15000000,9508,23091,11000
Nothing But the Truth,29-Jul-09,R,108,7.2,"Crime,Drama,Mystery,Thriller",31986,11500000,3045,3045,31000
Mutant Chronicles,10-Oct-08,R,111,5.2,"Action,Adventure,Sci-Fi",24121,25000000,4724,4724,15000
Gangster's Paradise: Jerusalema,29-Aug-08,R,119,7.7,"Action,Crime,Drama",9826,2000000,4958,4958,1000
The Amazing Truth About Queen Raquela,10-Oct-08,R,80,6.1,"Biography,Drama",203,400000,2700,5255,15
Spider-Man 3,4-May-07,PG-13,139,6.2,"Action,Adventure",410559,258000000,23299215.61,336530303,38000
P.S. I Love You,21-Dec-07,PG-13,126,7.1,"Drama,Romance",178294,30000000,448192,53680848,21000
TMNT,23-Mar-07,PG,87,6.3,"Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",55389,34000000,1838756.958,54132596,13000
Halloween,31-Aug-07,R,109,6.1,Horror,92436,15000000,30591759,58267261,5000
Surf's Up,8-Jun-07,PG,85,6.7,"Animation,Comedy,Family,Sport",57153,100000000,17640249,58867694,17000
Saw IV,26-Oct-07,R,93,5.9,"Horror,Mystery",117364,10000000,5065093.56,63270259,15000
Charlie Wilson's War,21-Dec-07,R,102,7.1,"Biography,Comedy,Drama,History",93141,75000000,15952430,66636385,64000
The Golden Compass,7-Dec-07,PG-13,113,6.1,"Adventure,Family,Fantasy",155898,180000000,14487968,70083519,35000
1408,22-Jun-07,PG-13,104,6.8,"Fantasy,Horror",223385,25000000,20617667,71975611,11000
Fred Claus,9-Nov-07,PG,116,5.6,"Comedy,Family,Fantasy",33618,100000000,18515473,72000867,18000
No Country for Old Men,21-Nov-07,R,122,8.1,"Crime,Drama,Thriller",666984,25000000,1226333,74273505,23000
Disturbia,13-Apr-07,PG-13,105,6.9,"Drama,Mystery,Thriller",194513,20000000,22224982,80050171,47000
Beowulf,16-Nov-07,PG-13,115,6.2,"Animation,Action,Adventure,Fantasy",147185,150000000,4553685.36,82161969,32000
Bridge to Terabithia,16-Feb-07,PG,96,7.2,"Adventure,Drama,Family,Fantasy",118168,17000000,28536717,82234139,64000
The Game Plan,28-Sep-07,PG,110,6.2,"Comedy,Family,Sport",47313,22000000,22950971,90636983,17000
The Bucket List,11-Jan-08,PG-13,97,7.4,"Adventure,Comedy,Drama",195911,45000000,161840,93452056,23000
Meet the Robinsons,30-Mar-07,G,95,6.9,"Animation,Adventure,Comedy,Family,Sci-Fi",71707,150000000,1738152.7,97821064,21000
Evan Almighty,22-Jun-07,PG,96,5.4,"Comedy,Family,Fantasy",120257,175000000,31192615,100289690,21000
Paranormal Activity,16-Oct-09,R,86,6.3,"Horror,Mystery,Thriller",193468,15000,77873,107917283,13000
Ghost Rider,16-Feb-07,PG-13,114,5.2,"Action,Fantasy,Thriller",192017,110000000,52022908,115802596,48000
Ocean's Thirteen,8-Jun-07,PG-13,122,6.9,"Crime,Thriller",271642,85000000,5982177.96,117144465,29000
Atonement,11-Jan-08,R,123,7.8,"Drama,Mystery,Romance,War",204343,30000000,3186426.75,50921738,13000
Sweeney Todd: The Demon Barber of Fleet Street,21-Dec-07,R,116,7.4,"Drama,Horror,Musical,Thriller",298363,50000000,13635390,52882759,13000
3:10 to Yuma,7-Sep-07,R,122,7.7,"Adventure,Crime,Drama,Western",249982,55000000,14035033,53574088,85000
Hairspray,20-Jul-07,PG,117,6.7,"Comedy,Drama,Family,Music,Musical,Romance",103588,75000000,4173660.48,118823091,35000
I Now Pronounce You Chuck & Larry,20-Jul-07,PG-13,115,6,"Comedy,Romance",124888,85000000,34233750,119684970,22000
Superbad,17-Aug-07,R,113,7.6,Comedy,445087,20000000,33052411,121463226,81000
Bee Movie,2-Nov-07,PG,91,6.1,"Animation,Adventure,Comedy,Family",113694,150000000,25565462,126597121,23000
Resident Evil: Extinction,21-Sep-07,R,94,6.3,"Action,Horror,Sci-Fi,Thriller",160960,45000000,23678580,50648679,31000
War,24-Aug-07,R,103,6.3,"Action,Crime,Thriller",75841,25000000,9820089,22466994,22000
Hot Fuzz,20-Apr-07,R,121,7.9,"Action,Comedy,Mystery",377698,15200000,11244483.1,23618786,19000
Perfect Stranger,13-Apr-07,R,109,5.7,"Crime,Mystery,Thriller",39260,60795000,526389.3,23705592,12000
Across the Universe,12-Oct-07,PG-13,133,7.4,"Drama,Fantasy,Musical,Romance",95646,45000000,667784,24343673,15000
Grindhouse,6-Apr-07,R,191,7.6,"Action,Horror,Thriller",161088,53000000,11596613,25031037,36000
The Reaping,5-Apr-07,R,99,5.7,"Horror,Thriller",38600,40000000,10025203,25117498,13000
Nancy Drew,15-Jun-07,PG,99,5.9,"Comedy,Crime,Family,Mystery,Romance,Thriller",16753,20000000,6832318,25584685,606
The Mist,21-Nov-07,R,126,7.2,"Horror,Sci-Fi,Thriller",235417,18000000,8931973,25592632,22000
The Nanny Diaries,24-Aug-07,PG-13,106,6.2,"Comedy,Drama,Romance",50502,20000000,7480927,25925170,14000
Hannibal Rising,9-Feb-07,R,121,6.2,"Crime,Drama,Thriller",90658,50000000,2035864.35,27667947,32000
Mr. Brooks,1-Jun-07,R,120,7.3,"Crime,Drama,Thriller",128775,20000000,10017067,28476219,63000
Enchanted,21-Nov-07,PG,107,7.1,"Animation,Comedy,Family,Fantasy,Musical,Romance",151355,85000000,34440317,127706877,64000
American Gangster,19-Oct-07,R,157,7.8,"Biography,Crime,Drama,Thriller",339686,100000000,24028445,130127620,98000
Fantastic 4: Rise of the Silver Surfer,15-Jun-07,PG,92,5.6,"Action,Adventure,Fantasy,Sci-Fi,Thriller",221600,130000000,8191594.62,131920333,19000
Live Free or Die Hard,27-Jun-07,PG-13,128,7.2,"Action,Adventure,Thriller",349280,110000000,33369559,134520804,59000
Rush Hour 3,10-Aug-07,PG-13,91,6.2,"Action,Comedy,Crime,Thriller",128367,140000000,5491315.98,140080850,18000
Juno,25-Dec-07,PG-13,96,7.5,"Comedy,Drama",434893,7500000,413869,143492840,10000
Knocked Up,1-Jun-07,R,129,7,"Comedy,Romance",311013,30000000,30690990,148734225,46000
The Simpsons Movie,27-Jul-07,PG-13,87,7.4,"Animation,Adventure,Comedy",270348,75000000,27662511.59,183132370,23000
Ratatouille,29-Jun-07,G,111,8,"Animation,Comedy,Family,Fantasy",508516,150000000,47027395,206435493,11000
Alvin and the Chipmunks,14-Dec-07,PG,92,5.2,"Animation,Comedy,Family,Fantasy,Music",61076,60000000,44307417,217326336,18000
National Treasure: Book of Secrets,21-Dec-07,PG,124,6.5,"Action,Adventure,Family,Mystery,Thriller",191023,130000000,65444195,219961501,24000
The Bourne Ultimatum,3-Aug-07,PG-13,115,8.1,"Action,Mystery,Thriller",529880,110000000,69283690,227137090,8000
I Am Legend,14-Dec-07,PG-13,101,7.2,"Drama,Horror,Sci-Fi,Thriller",570452,150000000,77211321,256386216,11000
Harry Potter and the Order of the Phoenix,11-Jul-07,PG-13,138,7.5,"Adventure,Family,Fantasy,Mystery",389071,150000000,33481409.15,292000866,51000
We Own the Night,12-Oct-07,R,117,6.9,"Crime,Drama,Thriller",75118,21000000,10826287,28563179,19000
Lions for Lambs,9-Nov-07,R,92,6.2,"Drama,Thriller,War",42579,35000000,6702434,14998070,19000
The Orphanage,11-Jan-08,R,105,7.5,"Drama,Mystery,Thriller",126499,4416600,338024,7159147,11000
Martian Child,2-Nov-07,PG,106,6.8,"Comedy,Drama,Family",18027,27000000,1843767,7486906,15000
Code Name: The Cleaner,5-Jan-07,PG-13,84,4.5,"Action,Comedy,Crime",10120,20000000,4244142,8104069,246
Death at a Funeral,17-Aug-07,R,87,7.4,Comedy,94135,9000000,1282973,8579684,95000
The Seeker: The Dark Is Rising,5-Oct-17,PG,99,4.8,"Adventure,Drama,Family,Fantasy,Thriller",13602,45000000,3745315,8791738,1000
A Mighty Heart,22-Jun-07,R,108,6.7,"Biography,Drama,History,Thriller,War",24778,16000000,3948863,9172810,950
Once,15-Jun-07,R,85,7.9,"Drama,Music,Romance",97441,241380,61901,9437933,27000
Rendition,19-Oct-07,R,122,6.8,"Drama,Thriller",49169,27500000,1190023.8,9664316,23000
Pathfinder,13-Apr-07,R,99,5.4,"Action,Adventure,Drama,Thriller",38565,20000000,5001214,10232081,18000
Married Life,28-Mar-08,PG-13,91,6.3,"Crime,Drama,Romance",8277,12000000,55851,1506998,331
Son of Rambow,23-May-08,PG-13,96,7,"Action,Adventure,Comedy,Drama,Family",28062,7920000,1776236.22,1784769,2000
Margot at the Wedding,14-Dec-07,R,93,6.1,"Comedy,Drama",16105,10000000,81035,1956291,518
You Kill Me,13-Jul-07,R,93,6.5,"Comedy,Crime,Romance,Thriller",16556,4000000,233709,2426851,867
Captivity,13-Jul-07,R,96,4.7,"Crime,Mystery,Thriller",21069,17000000,668261.79,2626800,580
Things We Lost in the Fire,19-Oct-07,R,118,7.2,Drama,25153,16000000,1561949,2849142,24000
Resurrecting the Champ,24-Aug-07,PG-13,112,6.7,"Drama,Sport",18914,13000000,1659756,3169424,709
Savage Grace,25-Jan-08,Not Rated,97,5.9,Drama,9414,4600000,22311,434417,13000
Flight of the Red Balloon,30-Jan-08,Not Rated,115,6.7,"Drama,Family",3505,3897000,35222,459364,256
The Signal,4-Jul-08,R,103,6.1,"Horror,Sci-Fi,Thriller",18764,50000,144836,597420,21000
The Grand,7-Jun-07,R,104,6,Comedy,5058,5400000,16454,114669,496
12,20-Sep-07,PG-13,159,7.8,"Crime,Drama,Thriller,War",12207,4000000,12042,125024,35000
The Warlords,12-Dec-07,R,126,7.1,"Action,Drama,History,Romance,War",23692,40000000,10073,128978,14000
Blonde and Blonder,17-May-07,PG-13,95,2.9,"Comedy,Crime",3160,8000000,26815,42183,215
Sukiyaki Western Django,15-Sep-07,R,121,6.3,"Action,Western",13250,3800000,12172,48034,37000
Grace Is Gone,10-Jan-08,PG-13,85,6.8,Drama,8490,2000000,13880,50080,580
Finishing the Game: The Search for a New Bruce Lee,21-Jan-07,Not Rated,84,6.1,Comedy,1678,500000,11903,52850,154
A Plumm Summer,14-Oct-07,PG,99,6.1,"Adventure,Family",332,4200000,53752,53752,70
Elite Squad,12-Oct-07,R,115,8.1,"Action,Crime,Drama,Thriller",85910,4000000,3604,8060,11000
